"form","coordinates","name","season","set","rank","rankindex","precedence","vigil","coincideswith","color","tide"
"eo","A011","First Sunday of Advent","Christmas season","Advent","Sunday I-IV Advent","3","","","Z1224","violet","Advent"
"eo","A021","Second Sunday of Advent","Christmas season","Advent","Sunday I-IV Advent","3","","","Z1224","violet","Advent"
"eo","A031","Third Sunday of Advent","Christmas season","Advent","Sunday I-IV Advent","3","","","Z1224","violet","Advent"
"eo","A041","Fourth Sunday of Advent","Christmas season","Advent","Sunday I-IV Advent","3","","","Z1224","violet","Advent"
"eo","A034","Ember Wednesday in Advent","Christmas season","Advent","Ember day of Advent","10","","","","violet","Advent"
"eo","A036","Ember Friday in Advent","Christmas season","Advent","Ember day of Advent","10","","","","violet","Advent"
"eo","A037","Ember Saturday in Advent","Christmas season","Advent","Ember day of Advent","10","","","","violet","Advent"
"eo","A012","Monday in the First week of Advent","Christmas season","Advent","Ferias IV class","18","","","","violet","Advent"
"eo","A013","Tuesday in the First week of Advent","Christmas season","Advent","Ferias IV class","18","","","","violet","Advent"
"eo","A014","Wednesday in the First week of Advent","Christmas season","Advent","Ferias IV class","18","","","","violet","Advent"
"eo","A015","Thursday in the First week of Advent","Christmas season","Advent","Ferias IV class","18","","","","violet","Advent"
"eo","A016","Friday in the First week of Advent","Christmas season","Advent","Ferias IV class","18","","","","violet","Advent"
"eo","A017","Saturday in the First week of Advent","Christmas season","Advent","Ferias IV class","18","","","","violet","Advent"
"eo","A022","Monday in the Second week of Advent","Christmas season","Advent","Ferias IV class","18","","","","violet","Advent"
"eo","A023","Tuesday in the Second week of Advent","Christmas season","Advent","Ferias IV class","18","","","","violet","Advent"
"eo","A024","Wednesday in the Second week of Advent","Christmas season","Advent","Ferias IV class","18","","","","violet","Advent"
"eo","A025","Thursday in the Second week of Advent","Christmas season","Advent","Ferias IV class","18","","","","violet","Advent"
"eo","A026","Friday in the Second week of Advent","Christmas season","Advent","Ferias IV class","18","","","","violet","Advent"
"eo","A027","Saturday in the Second week of Advent","Christmas season","Advent","Ferias IV class","18","","","","violet","Advent"
"eo","A032","Monday in the Third week of Advent","Christmas season","Advent","Ferias IV class","18","","","","violet","Advent"
"eo","A033","Tuesday in the Third week of Advent","Christmas season","Advent","Ferias IV class","18","","","","violet","Advent"
"eo","A035","Thursday in the Third week of Advent","Christmas season","Advent","Ferias IV class","18","","","","violet","Advent"
"eo","D032","Monday in the Third week of Advent","Christmas Season","Days before Christmas","Ferias Advent from 17-23 Dec.","10","1","","","violet","Advent"
"eo","D033","Tuesday in the Third week of Advent","Christmas Season","Days before Christmas","Ferias Advent from 17-23 Dec.","10","1","","","violet","Advent"
"eo","D034","Wednesday in the Third week of Advent","Christmas Season","Days before Christmas","Ferias Advent from 17-23 Dec.","10","1","","","violet","Advent"
"eo","D035","Thursday in the Third week of Advent","Christmas Season","Days before Christmas","Ferias Advent from 17-23 Dec.","10","1","","","violet","Advent"
"eo","D036","Friday in the Third week of Advent","Christmas Season","Days before Christmas","Ferias Advent from 17-23 Dec.","10","1","","","violet","Advent"
"eo","D037","Saturday in the Third week of Advent","Christmas Season","Days before Christmas","Ferias Advent from 17-23 Dec.","10","1","","","violet","Advent"
"eo","D042","Monday in the Fourth week of Advent","Christmas Season","Days before Christmas","Ferias Advent from 17-23 Dec.","10","1","","","violet","Advent"
